concept	facet	property
radio navigation beacon	used for	automotive navigation
radio navigation beacon	used for	gps
radio navigation beacon	range	long-range
radio navigation beacon	range	hundreds of miles
radio navigation beacon	used for	positioning
radio navigation beacon	location	sea
radio navigation beacon	use	marine navigation
radio navigation beacon	accuracy	low
radio navigation beacon	accuracy	high
radio navigation beacon	range	tens of miles
radio navigation beacon	used for	aircraft navigation
radio navigation beacon	location	ground stations
radio navigation beacon	used for	hiking
radio navigation beacon	used for	land vehicle navigation
radio navigation beacon	location	airborne
radio navigation beacon	operational frequency	109.05 mhz
radio navigation beacon	function	transmitting radio signals
radio navigation beacon	operating frequency	109.1 mhz
radio navigation beacon	operating frequency	very high frequency
radio navigation beacon	operating frequency	high frequency
radio navigation beacon	operating frequency	medium frequency
radio navigation beacon	operating frequency	mhz
radio navigation beacon	operating frequency	109.05 mhz
radio navigation beacon	operating frequency	low frequency
radio navigation beacon	used in	space exploration
radio navigation beacon	characteristics	receives signals
radio navigation beacon	used for	air navigation
radio navigation beacon	uses	aircraft navigation
radio navigation beacon	characteristics	emits continuous signal
radio navigation beacon	frequency	mf
radio navigation beacon	frequency	lf
radio navigation beacon	function	receiving signals
radio navigation beacon	frequency	vhf
radio navigation beacon	function	transmitting location data
radio navigation beacon	function	emitting signals
radio navigation beacon	characteristics	mobile
radio navigation beacon	characteristics	fixed
radio navigation beacon	used for	en route navigation
radio navigation beacon	frequency	hf
radio navigation beacon	characteristics	accurate
radio navigation beacon	operating frequency	vhf
radio navigation beacon	usage	maritime
radio navigation beacon	usage	aviation
radio navigation beacon	characteristics	low-power
radio navigation beacon	frequency	medium frequency
radio navigation beacon	frequency	low frequency
radio navigation beacon	characteristics	receives and retransmits signal
radio navigation beacon	characteristics	line-of-sight
radio navigation beacon	characteristics	reliable
radio navigation beacon	operating frequency	lf
radio navigation beacon	operating frequency	1157 khz
radio navigation beacon	operating frequency	radio frequency
radio navigation beacon	characteristics	high-accuracy
radio navigation beacon	characteristics	directional
radio navigation beacon	characteristics	receivable by receiver
radio navigation beacon	characteristics	high-frequency
radio navigation beacon	used for	vehicle navigation
radio navigation beacon	transmitter power	high
radio navigation beacon	transmitter power	low
radio navigation beacon	function	assists navigation
radio navigation beacon	function	aid in navigation
radio navigation beacon	function	provide location information
radio navigation beacon	technology	uses radio signals
radio navigation beacon	function	help navigation
radio navigation beacon	function	provides navigation
radio navigation beacon	function	helps navigation
radio navigation beacon	function	transmit navigation signals
radio navigation beacon	characteristics	transmit continuous signals
radio navigation beacon	characteristics	emits signal
radio navigation beacon	technology	radio frequency
radio navigation beacon	operating frequency	specific microwave frequency
radio navigation beacon	operating frequency	specific radio frequency
radio navigation beacon	operating frequency	535 khz
radio navigation beacon	frequency	radio frequency
radio navigation beacon	frequency	specific frequency range
radio navigation beacon	used for	aviation
radio navigation beacon	usage	aircraft navigation
radio navigation beacon	frequency range	very high frequency
radio navigation beacon	technology	vhf
radio navigation beacon	function	provides location information
radio navigation beacon	used in	aircraft navigation
radio navigation beacon	technology	signal transmission
radio navigation beacon	characteristics	low-accuracy
radio navigation beacon	characteristics	highly accurate
radio navigation beacon	characteristics	long-range
radio navigation beacon	frequency	uhf
radio navigation beacon	characteristics	high accuracy
radio navigation beacon	frequency	very high frequency
radio navigation beacon	signal type	pulsed signal
radio navigation beacon	signal type	vor
radio navigation beacon	signal type	lf
radio navigation beacon	signal type	microwaves
radio navigation beacon	function	helps with navigation
radio navigation beacon	signal type	radio frequency
radio navigation beacon	signal type	ndb
radio navigation beacon	signal type	continuous wave
radio navigation beacon	function	provide navigation signals
radio navigation beacon	function	assist in navigation
radio navigation beacon	function	provides navigation signals
radio navigation beacon	signal type	gps
radio navigation beacon	function	navigational aid
radio navigation beacon	signal type	fm
radio navigation beacon	function	transmits signal
radio navigation beacon	operational frequency	s-band
radio navigation beacon	signal type	amplitude modulated
radio navigation beacon	signal type	vhf
radio navigation beacon	signal type	navigation signal
radio navigation beacon	signal type	radio waves
radio navigation beacon	signal type	ils
radio navigation beacon	signal type	pulse code
radio navigation beacon	signal type	am
radio navigation beacon	signal type	pulse
radio navigation beacon	signal type	electromagnetic
radio navigation beacon	signal type	frequency-modulated
radio navigation beacon	signal type	gps signal
radio navigation beacon	signal type	amplitude-modulated
radio navigation beacon	signal type	pulse signal
radio navigation beacon	signal type	uhf
radio navigation beacon	signal type	frequency modulated
radio navigation beacon	signal type	lf/mf signals
radio navigation beacon	signal type	radio signal
radio navigation beacon	function	assisting navigation
radio navigation beacon	operational frequency	109.1 mhz
radio navigation beacon	operational frequency	l-band
radio navigation beacon	signal characteristics	omnidirectional
radio navigation beacon	usage	land-based
radio navigation beacon	signal	voice messages
radio navigation beacon	function	guiding navigation
radio navigation beacon	signal	modulated signal
radio navigation beacon	signal	radio signal
radio navigation beacon	example of	dme
radio navigation beacon	signal	morse code
radio navigation beacon	signal	radio waves
radio navigation beacon	function	signal transmission
radio navigation beacon	usage	land transportation
radio navigation beacon	characteristics	receive signals from multiple beacons
radio navigation beacon	characteristics	omnidirectional
radio navigation beacon	usage	marine navigation
radio navigation beacon	signal	pilot signal
radio navigation beacon	operational frequency	uhf
radio navigation beacon	usage	land navigation
radio navigation beacon	example of	ndb
radio navigation beacon	operational frequency	1157 khz
radio navigation beacon	operational frequency	535 khz
radio navigation beacon	operational principle	modulating carrier wave
radio navigation beacon	operational principle	transmitting radio signals
radio navigation beacon	signal type	modulated signal
