person	 male or female 
figure skating	 types of ice skating 
file cabinet	 office furniture 
filed	 used for growing crops 
file extension	 types of computer file extensions 
file sharing	 file transfers 
file size	 size 
file type	 types of file extensions 
filing	 used for organizing 
filing cabinet	 used for organizing paper documents 
filing system	 used for organizing information 
filling station	 service stations 
film crew	 part of a film production 
filming	 used for capturing images or video 
film making	 types of visual art 
film set	 used for making movies 
film speed	 part of photography 
fin	 part of a fish 
final	 one of types of performance 
final cut	 cut 
financial investment	 investment 
financial market	 financial markets 
find	 located in ground 
finest	 types of wines 
finger food	 types of food served at parties 
finishing	 finish 
finish line	 part of a race 
fire alarm	 safety devices 
fire brigade	 emergency services 
fire code	 code 
fire company	 fire department 
fire department	 emergency services 
fire drill	 drill 
fire engine	 red 
fire escape	 safety measures 
fire fighting	 used for fire safety 
fire marshal	 related to fire safety 
fire sale	 sale 
fire service	 emergency services 
fire sign	 types of zodiac signs 
fire station	 emergency response stations 
fire truck	 types of firefighting vehicles 
fireworks	 used for celebrations 
firing line	 part of a shooting range 
firing pin	 parts of a gun 
firing range	 essential for shooting 
firing squad	 methods of execution 
first aid	 medical treatments 
first blood	 red 
first choice	 choices 
first contact	 beginnings 
first lieutenant	 rank 
first love	 unforgettable 
first mate	 ranks in the navy 
first principle	 principles 
first sergeant	 military ranks 
fiscal	 financial 
fish cake	 types of seafood dishes 
fish eagle	 found in african wetlands 
fisher cat	 mammals 
fish farm	 types of farms 
fish farming	 farming 
fish finger	 fish-based foods 
fish food	 part of a fish tank setup 
fish hook	 part of a fishing kit 
fishing boat	 used for fishing 
fishing expedition	 investigation 
fishing pole	 part of a fishing kit 
fishing rod	 used for fishing 
fish kill	 kills 
fish pond	 types of aquariums 
fish tank	 used for displaying aquatic life 
fist	 part of hands 
fit	 components of clothing 
fitness center	 places for exercise 
fitting	 components of a building 
five	 less than ten 
fix	 cause 
flag captain	 captain 
flag day	 celebrated in united states 
flag football	 types of football 
flag pole	 used for displaying flags 
flag stop	 types of train stops 
flame	 sources of heat 
flame test	 tests 
flame war	 war 
flash	 used for photography 
flash drive	 used for data storage 
flash fiction	 short stories 
flash flood	 flood 
flash point	 points 
fledgling	 young birds 
fletcher	 nouns 
flexibility	 properties of materials 
flexible	 types of materials 
flight crew	 crews 
flight engineer	 aircraft maintenance professionals 
flight lieutenant	 military ranks 
flight mode	 modes 
flight path	 path 
flight plan	 part of aviation 
flight risk	 risk 
flip	 types of shoes 
flood gate	 used for flood control 
flooding	 cause water damage 
flood stage	 stages 
floor exercise	 gymnastics disciplines 
floor plan	 used for architectural design 
flow chart	 diagrams 
flow control	 control 
flower bed	 types of garden features 
flower girl	 wedding attire 
flower head	 parts of a flower 
flower power	 power 
flowing	 types of water movement 
flu	 viral diseases 
fluid intelligence	 intelligence 
flurry	 frozen water 
fly ball	 types of baseball plays 
fly fishing	 fishing 
flying ace	 aerial combat 
flying circus	 circus 
flying fish	 found in the ocean 
flying fox	 mammals 
focus group	 research methods 
foley	 part of film production 
folk culture	 culture 
food court	 places to eat 
food crop	 crops 
food desert	 desert 
food drive	 drive 
food fight	 fight 
food fish	 very good 
food plant	 plant 
food poisoning	 poisoning 
food processor	 kitchen appliances 
food pyramid	 food guidelines 
food stamp	 assistance 
food supplement	 medicine 
food web	 food chains 
football field	 used for sports 
foot fault	 violation 
foot passenger	 traveler 
foot race	 types of races 
foot soldier	 soldier 
force field	 fields 
ford	 types of car brands 
forecast	 weather reports 
forehand	 part of tennis 
foreign	 unfamiliar 
foreign country	 different from own country 
foreign exchange	 trading 
foreign language	 language 
forensic science	 science 
forest green	 types of green 
forge	 blacksmithing tools 
forgotten	 remembered 
formal	 types of clothing 
former	 adjectives 
form letter	 forms 
forth	 forth 
forty	 less than fifty 
forward	 positions in a soccer game 
fossil fuel	 fuel 
fossil record	 record 
foster	 adoption 
foster family	 families 
foul	 bad 
found	 located in ground 
founder effect	 increase 
founders	 people 
four	 one more than three 
four square	 types of sports 
fourth	 one of four numbers 
fowler	 nuts 
fra	 noun 
frame rate	 rates 
franc	 euro 
franco	 french 
frank	 candies 
frankfurt	 german cities 
franklin	 first name 
free	 types of speech 
freed	 liberated from slavery 
freedom ride	 cause death 
freedom rider	 types of buses 
free energy	 thermodynamic properties 
free enterprise	 enterprise 
free fall	 flying 
freeman	 citizens 
free market	 economic systems 
free press	 essential for democracy 
free radical	 radicals 
free rider	 riders 
free speech	 freedom of expression 
free state	 state 
free trade	 trade 
free will	 will 
free world	 good 
freezing point	 temperature 
freight car	 used for transporting goods 
freight train	 types of trains 
fresh	 types of water 
fresh air	 good for health 
freshman	 levels of education 
fried rice	 types of asian cuisine 
friendly	 types of relationships 
fringe group	 groups 
front bench	 seating 
front door	 entrance to a building 
frontier	 borders 
front page	 parts of a newspaper 
front row	 positions in a theatre 
front runner	 one of several contenders 
front yard	 part of a house 
frost	 located in windows 
fruit fly	 insects 
fruit juice	 drinks 
fruit loop	 types of cereal 
fuel cell	 types of energy storage 
fuel injection	 injection 
fuel poverty	 poverty 
fuel station	 sources of energy 
fuel tank	 part of a motorcycle 
fugitive	 evading 
fulham	 west of london 
full	 types of sentences 
fuller	 components of a sewing machine 
full house	 poker hands 
full moon	 full of light 
fun	 good 
fundamentalist	 types of religious beliefs 
fundraising	 financial support 
funeral home	 places for mourning 
fun house	 circus acts 
funny car	 drag racing 
fur	 used for making clothing 
f word	 profanity 
gain	 advantage 
gala	 types of events 
gallon	 units of measurement 
gamble	 cause death 
gambling	 betting 
game bird	 birds 
game board	 used for playing games 
game face	 used for playing games 
game master	 responsible for rules and gameplay 
game plan	 strategies 
game point	 points 
game score	 part of game setup 
game theory	 theories 
gang rape	  rape
gap junction	 junctions 
gap year	 types of student travel 
garage door	 for securing a building 
garage rock	 rock music 
garage sale	 sale 
garbage	 located in streets 
garbage bin	 waste disposal containers 
garbage can	 used for waste disposal 
garbage collection	 waste management 
garbage truck	 types of vehicles 
garden center	 types of gardening retailers 
garden centre	 types of plant nurseries 
garden city	 types of urban planning 
garden path	 types of paths 
garner	 used for preparing food 
gas bottle	 used for cooking outdoors 
gas chamber	 used for executions 
gas constant	 constants in physics 
gas cylinder	 used for cooking 
gas fire	 types of fireplaces 
gas giant	 types of planets 
gas mask	 used for protecting oneself from chemical exposure 
gas pump	 used for filling up with gas 
gas station	 sources of energy 
gas tank	 used for fueling vehicles 
gate array	 microprocessor 
gate guard	 security personnel 
gate guardian	 found in a castle 
gate house	 types of houses 
gateway drug	 drug 
gather	 cause a desire to gos 
gauge	 used for measuring distance or size 
gay marriage	 marriage 
gay pride	 pride 
gear ratio	 part of a car's transmission 
gear shift	 parts of a car 
gear train	 part of a car's transmission 
gender gap	 gap 
gene expression	 biological processes 
gene family	 family 
gene pool	 pool 
gene product	 proteins 
general aviation	 aviation 
general contractor	 construction professionals 
general practice	 medicine 
general public	 located in internet cafes 
general store	 types of stores 
generation gap	 gap 
generations	 time periods 
generic	 types of drugs 
gene therapy	 therapy 
genome	 parts of a living organism 
gentle	 types of weather 
get	 cause a desire to drinks 
getting	 cause a desire to eats 
g force	 gravity 
ghost train	 video games 
ghost writer	 author 
giant planet	 types of planets 
giant slalom	 alpine skiing 
gift certificate	 types of gifts 
gift shop	 places to buy things 
gilbert	 nuts 
girl friend	 types of relationships 
girl power	 power 
girl talk	 gossip 
give	 gifts 
giving	 cause happiness 
glance	 looks 
glass ceiling	 barriers 
glass door	 transparent 
glass eye	 used for vision 
glass transition	 transitions 
glimpse	 views 
global	 types of globalization 
globalization	 concepts related to international trade 
global warming	 climate change 
glory hole	 located in bars 
goal area	 part of a soccer field 
goal celebration	 celebration 
goal difference	 differences 
goal kick	 soccer terms 
goal line	 part of a soccer game 
goal post	 used for playing soccer 
goes	 cause a desire to sneezes 
going	 cause tiredness 
gold dust	 dust 
golden age	 age 
golden boy	 types of films 
golden eagle	 found in the sky 
golden girl	 noun 
golden mean	 ratio 
golden ratio	 ratios 
golden rule	 rule 
golden section	 part of golden ratio 
golden ticket	 very rare 
gold farmer	 gamer 
gold farming	 farming 
gold leaf	 leaf 
gold medal	 types of medals 
gold plate	 located in jewelry stores 
gold standard	 money 
golf ball	 used for golf 
golf cart	 used for transportation on a golf course 
golf shirt	 part of a golfer's attire 
gong	 musical instruments 
gong show	 television programs 
good	 better than bad 
